Date,Unemployment rate,Unemployment rate forecasts,Male unemployment rate,Female unemployment rate,CPI YoY,M1 YoY,M2 YoY,China CPI YoY,US M1 YoY,US M2 YoY,UST 10y,USDHKD,HKDCNY,HIS,SSE,SPX,UMich consumer sentiment index
2000/1/31,6,5.9,6.6,4.7,-5.3,22.6,5.1,-0.2,2.185593298,5.987371099,6.67,7.7804,1.0638,15532.34,1534.997,1394.46,112
2000/2/29,5.9,5.6,6.4,4.7,-5.1,22.8,4.3,0.7,1.085073402,5.741983594,6.41,7.7828,1.06355,17169.44,1714.578,1366.42,111.3
2000/3/31,5.6,5.475,6.1,4.6,-5,9.7,3.6,-0.2,0.993981397,6.274677918,6,7.7866,1.0637,17406.54,1800.225,1498.58,107.1
2000/4/30,5.3,5.35,5.9,4.6,-4.4,6.8,1.7,-0.3,1.270878722,6.846459076,6.21,7.7893,1.0628,15519.3,1836.321,1452.43,109.2
2000/5/31,5.1,5.225,5.5,4.3,-4.5,7.3,1.6,0.1,0.099655735,5.988451163,6.27,7.7922,1.06205,14713.86,1894.554,1420.6,110.7
2000/6/30,5.1,5.1,5.6,4.2,-4.5,6.1,3.8,0.5,0.254591744,5.870607029,6.03,7.7956,1.0625,16155.78,1928.106,1454.6,106.4
2000/7/31,5,4.9,5.6,4.3,-3.2,10.4,4.9,0.5,0.400327541,5.621347447,6.03,7.7986,1.0617,16840.98,2023.539,1430.83,108.3
2000/8/31,4.9,4.9,5.6,4.4,-2.7,7.3,5.7,0.3,0.090975255,5.839576422,5.73,7.7988,1.06135,17097.51,2021.199,1517.68,107.3
2000/9/30,4.8,4.8,5.4,4.3,-2.6,4.1,5.2,0,0.291837665,6.250410491,5.8,7.7964,1.06175,15648.98,1910.161,1436.51,106.8
2000/10/31,4.7,4.7,5.4,4,-3.1,7.1,4.2,0,-0.416931025,6.048132419,5.75,7.7974,1.06155,14895.34,1961.287,1429.4,105.8
2000/11/30,4.5,4.7,5.3,3.6,-2.3,7.1,3.9,1.3,-1.647609616,5.851859885,5.47,7.7994,1.06155,13984.39,2070.613,1314.95,107.6
2000/12/31,4.4,4.6,5.2,3.2,-2.1,-0.7,3.4,1.5,-2.994118695,6.188012074,5.11,7.7997,1.06135,15095.53,2073.477,1320.28,98.4
2001/1/31,4.4,5.1,4.9,3.2,-1.5,-0.6,5.6,1.2,-2.263612869,6.632806138,5.11,7.7988,1.0615,16102.35,2065.606,1366.01,94.7
2001/2/28,4.5,4.2,5.2,3.1,-2.4,-6.3,4.7,0,-0.667508569,7.152626405,4.9,7.7995,1.0613,14787.87,1959.18,1239.94,90.6
2001/3/31,4.5,4.5,5.3,3.1,-1.9,-0.3,3.8,0.8,0.126410835,7.681202497,4.92,7.7998,1.0613,12760.64,2112.775,1160.33,91.5
2001/4/30,4.5,4.6,5.5,3.1,-1.4,2.9,4.6,1.6,0.098601649,7.758964352,5.34,7.7991,1.0612,13386.04,2119.184,1249.46,88.4
2001/5/31,4.5,4.6,5.4,3.2,-1.5,4.5,4.9,1.7,1.230880623,7.974505143,5.38,7.7998,1.06125,13174.41,2214.257,1255.82,92
2001/6/30,4.5,4.6,5.3,3.4,-1.1,3.9,3.1,1.4,2.140395429,8.418206966,5.41,7.7998,1.0612,13042.53,2218.029,1224.42,92.6
2001/7/31,4.6,4.7,5.5,3.6,-0.9,4.7,1.4,1.5,3.207974626,8.64408903,5.05,7.7998,1.0612,12316.69,1920.318,1211.23,92.4
2001/8/31,4.9,4.8,5.8,4,-1.1,5.4,2.2,1,4.544628249,8.711987545,4.83,7.8001,1.0621,11090.48,1834.138,1133.58,91.5
2001/9/30,5.2,5.1,6.3,4.1,-1.2,8.7,1.7,-0.1,9.638992452,10.20357702,4.59,7.7998,1.0612,9950.7,1764.867,1040.94,81.8
2001/10/31,5.5,5.6,6.6,4.4,-1.2,10,2,0.2,6.098115955,9.609381418,4.23,7.7999,1.06115,10073.97,1689.17,1059.78,82.7
2001/11/30,5.9,5.7,7,4.5,-1.4,9.4,1.2,-0.3,7.195166606,10.25551708,4.75,7.7988,1.0614,11279.25,1747.993,1139.45,83.9
2001/12/31,6.2,6,7.1,4.8,-3.6,12.7,0.5,-0.3,8.690060628,10.33096447,5.05,7.798,1.06145,11397.21,1645.971,1148.08,88.8
2002/1/31,6.5,6.3,7.4,4.8,-3.5,8.2,-1.8,-1,8.57116805,9.614727576,5.03,7.7993,1.0612,10725.3,1491.665,1130.21,93
2002/2/28,6.7,7,7.7,5.1,-2.3,14.1,-1,0,8.118416273,9.359605911,4.88,7.7994,1.0612,10482.55,1524.701,1106.73,90.7
2002/3/31,7,7,8.1,5.3,-2.2,15.6,0,-0.8,7.611146181,8.34384858,5.4,7.7998,1.0613,11032.92,1603.905,1147.39,95.7
2002/4/30,7.1,7.1,8.2,5.6,-3.1,16.6,0.3,-1.3,6.286379511,6.99974688,5.08,7.7991,1.0612,11497.58,1667.749,1076.92,93
2002/5/31,7.4,7.2,8.4,5.7,-3.1,16.9,1.2,-1.1,6.329906124,7.56867329,5.04,7.7998,1.0611,11301.94,1515.733,1067.14,96.9
2002/6/30,7.7,7.6,8.7,6.1,-3.3,16.4,0.8,-0.8,5.958089149,7.209819271,4.8,7.7994,1.0612,10598.55,1732.755,989.81,92.4
2002/7/31,7.8,7.9,8.9,6.4,-3.4,15.7,-0.1,-0.9,5.28580209,7.412461083,4.46,7.7999,1.062,10267.36,1651.594,911.62,88.1
2002/8/31,7.6,8,8.7,6.6,-3.3,14.5,-0.7,-0.7,3.208137715,7.530741618,4.14,7.8,1.061,10043.87,1666.618,916.07,87.6
2002/9/30,7.4,7.6,8.5,6.5,-3.7,14.5,-0.9,-0.7,-0.796217965,5.751252711,3.59,7.7997,1.06105,9072.21,1581.618,815.28,86.1
2002/10/31,7.2,7.3,8.3,6.2,-3.6,11.1,-0.4,-0.8,3.28557948,6.807067509,3.89,7.7996,1.0612,9441.25,1507.496,885.76,80.6
2002/11/30,7.1,7.1,8,6.2,-3.6,11.9,-0.9,-0.7,3.296327925,6.872584002,4.21,7.7989,1.06135,10069.87,1434.182,936.31,84.2
2002/12/31,7.2,7,8.2,5.9,-1.5,12.9,-0.7,-0.4,3.127112914,6.2240053,3.82,7.7987,1.0613,9321.29,1357.654,879.82,86.7
2003/1/31,7.3,7.3,8.1,5.5,-1.6,13.9,0.1,0.4,3.073822121,6.426358153,3.96,7.8,1.0612,9258.95,1499.815,855.7,82.4
2003/2/28,7.6,7.2,8.7,5.4,-2,10.6,0,0.2,3.99798421,6.5160302,3.69,7.7994,1.0613,9122.66,1511.932,841.15,79.9
2003/3/31,7.5,7.5,8.7,5.7,-2.1,13.4,-0.5,0.9,3.854856281,6.663997671,3.8,7.7992,1.06125,8634.45,1510.578,848.18,77.6
2003/4/30,7.8,7.8,9.2,6,-1.8,12.3,-1.1,1,5.316370377,7.340684936,3.84,7.7994,1.0612,8717.22,1521.444,916.92,86
2003/5/31,8.2,8.1,9.6,6.4,-2.5,13.2,-0.3,0.7,6.684604389,7.929004799,3.37,7.7988,1.06135,9487.38,1576.261,963.59,92.1
2003/6/30,8.5,8.6,10.1,6.5,-3.1,18.7,0.5,0.3,7.349367301,8.104209862,3.51,7.7986,1.06145,9577.12,1486.024,974.5,89.7
2003/7/31,8.4,8.7,10.2,7.1,-4,18.2,1.9,0.5,7.372195814,8.115796819,4.41,7.7993,1.06125,10134.83,1476.742,990.31,90.9
2003/8/31,8.4,8.6,10.1,7.2,-3.8,20.6,2.7,0.9,9.207311937,8.331557639,4.46,7.7994,1.06125,10908.99,1421.983,1008.01,89.3
