Date,CPI YoY,CPI YoY forecasts,Core CPI,CPI rent YoY,Avg pork price,Avg fish price,Avg vegetable price,Avg fruit price,95 petrol price,Electric power consumption,Wholesale price YoY,Average salary YoY,M1B YoY,M2 YoY,TWSE,USDTWD
2000/1/31,0.51,,0.41,-0.053441642,50.36,80.2,14.37407407,28.18888889,18.2,6.95,1.22,4.453652548,23.55535203,9.191667973,9744.89,30.7
2000/2/29,0.92,,0.5,-0.085470085,44.43,87.9,14.895,24.64,18.6,6.48,0.92,3.46615549,17.57507778,7.646955043,9435.94,30.73
2000/3/31,1.12,,0.68,0.021374372,41.84,79.3,15.47777778,22.87777778,19.1,7.59,0.85,3.523716142,21.22399525,8.49416377,9854.95,30.43
2000/4/30,1.23,,0.66,0.032061558,44.66,81.4,14.772,23.792,19.1,7.59,1.21,2.72092317,17.20415378,7.52537933,8777.35,30.62
2000/5/31,1.59,,0.8,0.085524909,51.31,81.2,17.37777778,21.53703704,19.1,8.31,2.14,2.673279303,13.90981905,6.898079621,8939.52,30.81
2000/6/30,1.36,,0.73,0.032061558,50.85,82.1,17.47692308,18.35384615,19.6,8.52,2.65,2.77324633,7.033486679,6.204827932,8265.09,30.8
2000/7/31,1.45,,0.77,0.053447354,50.88,78.5,21.975,24.95714286,19.6,8.34,2.66,2.623959464,8.431024513,6.018598055,8114.92,31.07
2000/8/31,0.27,,0.46,0.117672229,51.34,76.7,20.892,20.412,19.3,8.49,2.17,2.42603016,7.111922946,6.338415267,7616.98,31.07
2000/9/30,1.62,,0.85,0.384944397,50.56,72.5,26.356,23.388,20.2,8.33,1.87,3.593325809,2.824800847,6.139736948,6185.14,31.33
2000/10/31,1.01,,0.79,0.470789643,46.14,70.7,18.85925926,25.16296296,20.5,8.75,1.86,2.596350102,2.421585817,6.396632696,5544.18,32.36
2000/11/30,2.25,,0.79,0.385150316,42.46,64.8,27.21538462,25.16538462,20.2,7.73,2.39,1.560731518,2.145335005,6.780725088,5256.93,33.07
2000/12/31,1.64,,0.74,0.406460584,40.7,69.1,20.61111111,29.14444444,20.2,7.69,1.85,0.800258907,-0.335198505,6.496382956,4739.09,33.08
2001/1/31,2.36,,2.21,0.342209389,40.73,74.9,15.0375,29.7875,20.2,6.93,1.56,0.146924863,-3.329363908,6.073043758,5936.2,32.38
2001/2/28,-1.02,,-0.97,0.342172797,40.61,69.8,12.79565217,25.31304348,20.2,6.87,0.45,3.498861048,-3.800237597,6.050354856,5674.69,32.35
2001/3/31,0.43,,0.61,0.235067849,40.14,69.9,12.48888889,27.09259259,20.2,7.72,-0.28,1.923873794,-5.843002164,5.244910695,5797.92,32.84
2001/4/30,0.43,,0.34,0.032051282,39.89,71.3,16.072,21.888,20,7.5,-0.28,0.946017856,-6.505887754,4.856784982,5381.67,32.91
2001/5/31,-0.22,,0.2,0.021362957,38.55,70.6,14.91851852,23.12222222,20,8.08,-1.31,0.739278982,-5.191940405,5.69267035,5048.86,33.9
2001/6/30,-0.15,,-0.28,-0.010683761,40.6,69.4,18.1,24.236,19.5,8.66,-0.31,0.884773663,-1.662011617,6.477445706,4883.43,34.43
2001/7/31,0.1,,-0.1,0.010683761,42.09,65.7,19.62592593,24.98518519,19.5,8.86,-0.23,2.124845706,-0.778013535,6.550767692,4352.98,34.75
