Date,Unemployment rate,Unemployment rate forecasts,Male unemployment rate,Female unemployment rate,Initial jobless claims,CPI YoY,M1B YoY,M2 YoY,US CPI YoY,US M1 YoY,US M2 YoY,UST 10y,USDTWD,TWSE,Composite leading index,UMich consumer sentiment index
2000/1/31,2.91,,3.24,1.97,2185,0.51,23.55535203,9.191667973,2.7,2.185593298,5.987371099,6.67,30.7,9744.89,55.48,112
2000/2/29,2.93,,3.35,2.24,1172,0.92,17.57507778,7.646955043,3.2,1.085073402,5.741983594,6.41,30.73,9435.94,56.02,111.3
2000/3/31,2.9,,3.38,1.99,1742,1.12,21.22399525,8.49416377,3.8,0.993981397,6.274677918,6,30.43,9854.95,56.28,107.1
2000/4/30,2.91,,3.18,2.05,1605,1.23,17.20415378,7.52537933,3.1,1.270878722,6.846459076,6.21,30.62,8777.35,56.19,109.2
2000/5/31,2.89,,3.26,2.07,1453,1.59,13.90981905,6.898079621,3.2,0.099655735,5.988451163,6.27,30.81,8939.52,55.8,110.7
2000/6/30,2.9,,3.3,2.28,1396,1.36,7.033486679,6.204827932,3.7,0.254591744,5.870607029,6.03,30.8,8265.09,55.16,106.4
2000/7/31,2.92,,3.34,2.65,2181,1.45,8.431024513,6.018598055,3.7,0.400327541,5.621347447,6.03,31.07,8114.92,54.37,108.3
2000/8/31,2.92,,3.35,2.89,1972,0.27,7.111922946,6.338415267,3.4,0.090975255,5.839576422,5.73,31.07,7616.98,53.48,107.3
2000/9/30,2.95,,3.29,2.81,1744,1.62,2.824800847,6.139736948,3.5,0.291837665,6.250410491,5.8,31.33,6185.14,52.54,106.8
2000/10/31,3.08,,3.41,2.85,2543,1.01,2.421585817,6.396632696,3.4,-0.416931025,6.048132419,5.75,32.36,5544.18,51.63,105.8
2000/11/30,3.23,,3.6,2.69,3185,2.25,2.145335005,6.780725088,3.4,-1.647609616,5.851859885,5.47,33.07,5256.93,50.87,107.6
2000/12/31,3.37,,3.66,2.7,3813,1.64,-0.335198505,6.496382956,3.4,-2.994118695,6.188012074,5.11,33.08,4739.09,50.29,98.4
2001/1/31,3.56,,3.81,2.67,8767,2.36,-3.329363908,6.073043758,3.7,-2.263612869,6.632806138,5.11,32.38,5936.2,49.87,94.7
2001/2/28,3.75,,4.26,2.94,6442,-1.02,-3.800237597,6.050354856,3.5,-0.667508569,7.152626405,4.9,32.35,5674.69,49.41,90.6
2001/3/31,3.97,,4.46,3.04,8066,0.43,-5.843002164,5.244910695,2.9,0.126410835,7.681202497,4.92,32.84,5797.92,48.86,91.5
2001/4/30,4.18,,4.6,3,6408,0.43,-6.505887754,4.856784982,3.3,0.098601649,7.758964352,5.34,32.91,5381.67,48.26,88.4
2001/5/31,4.36,,4.91,3.21,7916,-0.22,-5.191940405,5.69267035,3.6,1.230880623,7.974505143,5.38,33.9,5048.86,47.69,92
2001/6/30,4.51,,5.09,3.65,8177,-0.15,-1.662011617,6.477445706,3.2,2.140395429,8.418206966,5.41,34.43,4883.43,47.24,92.6
2001/7/31,4.73,,5.43,4.18,11917,0.1,-0.778013535,6.550767692,2.7,3.207974626,8.64408903,5.05,34.75,4352.98,47.04,92.4
2001/8/31,4.87,,5.67,4.45,13370,0.45,-1.228074249,6.400937001,2.7,4.544628249,8.711987545,4.83,34.55,4509.44,47.19,91.5
2001/9/30,5.05,,5.79,4.49,9554,-0.51,3.678465737,6.397976183,2.6,9.638992452,10.20357702,4.59,34.55,3636.94,47.72,81.8
